fight_url,fight_title,fight_subtitle,round,time,time_format,referee
http://ufcstats.com/fight-details/a5a81a39ccf9b680,UFC Fight Night: Royval vs. Kape,Flyweight Bout,1,3:18,5 Rnd (5-5-5-5-5),Herb Dean
http://ufcstats.com/fight-details/24bb03f0a3415fbe,UFC Fight Night: Royval vs. Kape,Featherweight Bout,2,1:29,3 Rnd (5-5-5),Mark Smith
http://ufcstats.com/fight-details/d000cb692343cdcd,UFC Fight Night: Royval vs. Kape,Middleweight Bout,3,5:00,3 Rnd (5-5-5),Kerry Hatley
http://ufcstats.com/fight-details/93ca562453f65b8d,UFC Fight Night: Royval vs. Kape,Featherweight Bout,1,1:14,3 Rnd (5-5-5),Eric McMahon
http://ufcstats.com/fight-details/47149f3187661509,UFC Fight Night: Royval vs. Kape,Heavyweight Bout,3,5:00,3 Rnd (5-5-5),Herb Dean
http://ufcstats.com/fight-details/fc4ab243d21b795d,UFC Fight Night: Royval vs. Kape,Catch Weight Bout,3,5:00,3 Rnd (5-5-5),Mark Smith
http://ufcstats.com/fight-details/0fca825e14429c1f,UFC Fight Night: Royval vs. Kape,Welterweight Bout,1,3:14,3 Rnd (5-5-5),Herb Dean
http://ufcstats.com/fight-details/225e93ebed9b71b8,UFC Fight Night: Royval vs. Kape,Featherweight Bout,3,5:00,3 Rnd (5-5-5),Eric McMahon
http://ufcstats.com/fight-details/a2523a8565fe4361,UFC Fight Night: Royval vs. Kape,Heavyweight Bout,2,3:49,3 Rnd (5-5-5),Mark Smith
http://ufcstats.com/fight-details/ceb5b0f1f6daddf6,UFC Fight Night: Royval vs. Kape,Women's Bantamweight Bout,3,5:00,3 Rnd (5-5-5),Kerry Hatley
http://ufcstats.com/fight-details/ac56a1052c4c8f63,UFC Fight Night: Royval vs. Kape,Heavyweight Bout,3,5:00,3 Rnd (5-5-5),Eric McMahon
http://ufcstats.com/fight-details/71170fb7ade3e1f4,UFC Fight Night: Royval vs. Kape,Women's Flyweight Bout,1,2:05,3 Rnd (5-5-5),Kerry Hatley
http://ufcstats.com/fight-details/4a0db214d9721d6e,UFC 323: Dvalishvili vs. Yan 2,UFC Bantamweight Title Bout,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard
http://ufcstats.com/fight-details/dfa692db6d39330c,UFC 323: Dvalishvili vs. Yan 2,UFC Flyweight Title Bout,1,0:26,5 Rnd (5-5-5-5-5),Herb Dean
http://ufcstats.com/fight-details/fbbb9e72900b71f5,UFC 323: Dvalishvili vs. Yan 2,Flyweight Bout,2,2:24,3 Rnd (5-5-5),Mark Smith
http://ufcstats.com/fight-details/1dc29f4c6fcdd356,UFC 323: Dvalishvili vs. Yan 2,Bantamweight Bout,3,5:00,3 Rnd (5-5-5),Chris Tognoni
http://ufcstats.com/fight-details/6d6ab10cbaa45e8c,UFC 323: Dvalishvili vs. Yan 2,Light Heavyweight Bout,3,5:00,3 Rnd (5-5-5),Jason Herzog
http://ufcstats.com/fight-details/c797b58d85c840a4,UFC 323: Dvalishvili vs. Yan 2,Lightweight Bout,1,2:25,3 Rnd (5-5-5),Herb Dean
http://ufcstats.com/fight-details/b3d2ac2244e4f791,UFC 323: Dvalishvili vs. Yan 2,Lightweight Bout,1,2:30,3 Rnd (5-5-5),Marc Goddard
http://ufcstats.com/fight-details/2417cc7bc1eea75b,UFC 323: Dvalishvili vs. Yan 2,Women's Flyweight Bout,3,5:00,3 Rnd (5-5-5),Mark Smith
http://ufcstats.com/fight-details/10a57b983e59f727,UFC 323: Dvalishvili vs. Yan 2,Lightweight Bout,2,4:59,3 Rnd (5-5-5),Jason Herzog
http://ufcstats.com/fight-details/3c683da1924b6c44,UFC 323: Dvalishvili vs. Yan 2,Middleweight Bout,3,5:00,3 Rnd (5-5-5),Chris Tognoni
http://ufcstats.com/fight-details/7af407397532f7cf,UFC 323: Dvalishvili vs. Yan 2,Lightweight Bout,1,2:24,3 Rnd (5-5-5),Herb Dean
http://ufcstats.com/fight-details/ea660db65bfa998f,UFC 323: Dvalishvili vs. Yan 2,Light Heavyweight Bout,1,1:29,3 Rnd (5-5-5),Marc Goddard
http://ufcstats.com/fight-details/964ea1777695851b,UFC 323: Dvalishvili vs. Yan 2,Middleweight Bout,1,1:09,3 Rnd (5-5-5),Mark Smith
http://ufcstats.com/fight-details/40fa4f8b4b93884e,UFC 323: Dvalishvili vs. Yan 2,Featherweight Bout,3,0:21,3 Rnd (5-5-5),Mark Smith
http://ufcstats.com/fight-details/5f5b626e67529056,UFC Fight Night: Tsarukyan vs. Hooker,Lightweight Bout,2,3:34,5 Rnd (5-5-5-5-5),Marc Goddard
http://ufcstats.com/fight-details/b2218930b982d9b6,UFC Fight Night: Tsarukyan vs. Hooker,Welterweight Bout,3,5:00,3 Rnd (5-5-5),Rich Mitchell
http://ufcstats.com/fight-details/870d374f8d9af65a,UFC Fight Night: Tsarukyan vs. Hooker,Light Heavyweight Bout,1,1:27,3 Rnd (5-5-5),Marc Goddard
http://ufcstats.com/fight-details/8ed609d80e135d94,UFC Fight Night: Tsarukyan vs. Hooker,Welterweight Bout,1,2:46,3 Rnd (5-5-5),Daniel Movahedi
http://ufcstats.com/fight-details/e8307c7686c42d8c,UFC Fight Night: Tsarukyan vs. Hooker,Heavyweight Bout,1,1:22,3 Rnd (5-5-5),Lukasz Bosacki
http://ufcstats.com/fight-details/00ee51bba08b7a08,UFC Fight Night: Tsarukyan vs. Hooker,Flyweight Bout,3,2:18,3 Rnd (5-5-5),Rich Mitchell
http://ufcstats.com/fight-details/5e6a74db89f5410c,UFC Fight Night: Tsarukyan vs. Hooker,Featherweight Bout,2,0:30,3 Rnd (5-5-5),Marc Goddard
http://ufcstats.com/fight-details/c49485cedb878cf0,UFC Fight Night: Tsarukyan vs. Hooker,Welterweight Bout,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki
http://ufcstats.com/fight-details/443f30a4a856584a,UFC Fight Night: Tsarukyan vs. Hooker,Flyweight Bout,3,0:22,3 Rnd (5-5-5),Daniel Movahedi
http://ufcstats.com/fight-details/f5564a9eeebd4ea0,UFC Fight Night: Tsarukyan vs. Hooker,Light Heavyweight Bout,1,0:33,3 Rnd (5-5-5),Rich Mitchell
http://ufcstats.com/fight-details/6f0231915cc28507,UFC Fight Night: Tsarukyan vs. Hooker,Bantamweight Bout,3,5:00,3 Rnd (5-5-5),Marc Goddard
http://ufcstats.com/fight-details/335064c3380e2f10,UFC Fight Night: Tsarukyan vs. Hooker,Middleweight Bout,1,1:26,3 Rnd (5-5-5),Daniel Movahedi
http://ufcstats.com/fight-details/46f81d5ecd974c1c,UFC Fight Night: Tsarukyan vs. Hooker,Lightweight Bout,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki
http://ufcstats.com/fight-details/9027e156c6f1988a,UFC Fight Night: Tsarukyan vs. Hooker,Heavyweight Bout,3,5:00,3 Rnd (5-5-5),Rich Mitchell
http://ufcstats.com/fight-details/856f6ee049373843,UFC 322: Della Maddalena vs. Makhachev,UFC Welterweight Title Bout,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean
http://ufcstats.com/fight-details/7606f6b6c19f2d73,UFC 322: Della Maddalena vs. Makhachev,UFC Women's Flyweight Title Bout,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard
http://ufcstats.com/fight-details/477af74ea3cbba8b,UFC 322: Della Maddalena vs. Makhachev,Welterweight Bout,1,3:27,3 Rnd (5-5-5),Blake Grice
http://ufcstats.com/fight-details/3c60884853766487,UFC 322: Della Maddalena vs. Makhachev,Welterweight Bout,2,1:28,3 Rnd (5-5-5),Keith Peterson
http://ufcstats.com/fight-details/9b5f190cd3f5ce16,UFC 322: Della Maddalena vs. Makhachev,Lightweight Bout,1,0:16,3 Rnd (5-5-5),Herb Dean
http://ufcstats.com/fight-details/292b83afa418635f,UFC 322: Della Maddalena vs. Makhachev,Middleweight Bout,3,2:24,3 Rnd (5-5-5),Dan Miragliotta
http://ufcstats.com/fight-details/ebb012c5f3fd0cbb,UFC 322: Della Maddalena vs. Makhachev,Middleweight Bout,3,5:00,3 Rnd (5-5-5),Marc Goddard
http://ufcstats.com/fight-details/909cd8633507a0c8,UFC 322: Della Maddalena vs. Makhachev,Women's Flyweight Bout,2,4:44,3 Rnd (5-5-5),Blake Grice
http://ufcstats.com/fight-details/e313286b307334a7,UFC 322: Della Maddalena vs. Makhachev,Featherweight Bout,3,5:00,3 Rnd (5-5-5),Keith Peterson
http://ufcstats.com/fight-details/9bbdc2a2ab334541,UFC 322: Della Maddalena vs. Makhachev,Middleweight Bout,1,0:50,3 Rnd (5-5-5),Herb Dean
http://ufcstats.com/fight-details/e3cbd663732f4a98,UFC 322: Della Maddalena vs. Makhachev,Featherweight Bout,3,5:00,3 Rnd (5-5-5),Dan Miragliotta
http://ufcstats.com/fight-details/6c2c6a6e3f4d04db,UFC 322: Della Maddalena vs. Makhachev,Women's Strawweight Bout,3,5:00,3 Rnd (5-5-5),Marc Goddard
http://ufcstats.com/fight-details/c037cf1f7b429d5e,UFC 322: Della Maddalena vs. Makhachev,Middleweight Bout,3,1:38,3 Rnd (5-5-5),Blake Grice
http://ufcstats.com/fight-details/1a5378e32e8519ef,UFC 322: Della Maddalena vs. Makhachev,Lightweight Bout,3,5:00,3 Rnd (5-5-5),Keith Peterson
http://ufcstats.com/fight-details/4e224ebb6394611d,UFC Fight Night: Bonfim vs. Brown,Welterweight Bout,2,1:40,5 Rnd (5-5-5-5-5),Mark Smith
http://ufcstats.com/fight-details/f7e9bd2d6f81aeae,UFC Fight Night: Bonfim vs. Brown,Flyweight Bout,1,2:54,3 Rnd (5-5-5),Keith Peterson
http://ufcstats.com/fight-details/b23fa678cc65cf5b,UFC Fight Night: Bonfim vs. Brown,Welterweight Bout,1,1:03,3 Rnd (5-5-5),Kerry Hatley
http://ufcstats.com/fight-details/20971ed9a842b0cb,UFC Fight Night: Bonfim vs. Brown,Lightweight Bout,2,4:30,3 Rnd (5-5-5),Chris Tognoni
http://ufcstats.com/fight-details/ac4343150638b635,UFC Fight Night: Bonfim vs. Brown,Middleweight Bout,2,3:20,3 Rnd (5-5-5),Mark Smith
http://ufcstats.com/fight-details/e3d657dd88864ba7,UFC Fight Night: Bonfim vs. Brown,Featherweight Bout,3,5:00,3 Rnd (5-5-5),Kerry Hatley
http://ufcstats.com/fight-details/c6d56aad93f98249,UFC Fight Night: Bonfim vs. Brown,Bantamweight Bout,3,5:00,3 Rnd (5-5-5),Keith Peterson
http://ufcstats.com/fight-details/80eae31bc0a94a65,UFC Fight Night: Bonfim vs. Brown,Women's Bantamweight Bout,3,5:00,3 Rnd (5-5-5),Chris Tognoni
