fight_url,fighter,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec
http://ufcstats.com/fight-details/a5a81a39ccf9b680,Brandon Royval Manel Kape,,,,65% 73%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/24bb03f0a3415fbe,Giga Chikadze Kevin Vallejos,,,,52% 50%,,,,,--- 0%,,,0
http://ufcstats.com/fight-details/d000cb692343cdcd,Cesar Almeida Cezary Oleksiejczuk,,,,80% 83%,,,,,--- 100%,,,0
http://ufcstats.com/fight-details/93ca562453f65b8d,Melquizael Costa Morgan Charriere,,,,44% 50%,,,,,--- ---,,,2
http://ufcstats.com/fight-details/47149f3187661509,Kennedy Nzechukwu Marcus Buchecha,,,,50% 22%,,,,,--- 22%,,,38
http://ufcstats.com/fight-details/fc4ab243d21b795d,King Green Lance Gibson Jr.,,,,43% 34%,,,,,0% ---,,,0
http://ufcstats.com/fight-details/0fca825e14429c1f,Neil Magny Yaroslav Amosov,,,,45% 47%,,,,,--- 50%,,,0
http://ufcstats.com/fight-details/225e93ebed9b71b8,Joanderson Brito Isaac Thomson,,,,57% 60%,,,,,100% 100%,,,89
http://ufcstats.com/fight-details/a2523a8565fe4361,Sean Sharaf Steven Asplund,,,,48% 51%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/ceb5b0f1f6daddf6,Melissa Croden Luana Santos,,,,25% 76%,,,,,0% 33%,,,44
http://ufcstats.com/fight-details/ac56a1052c4c8f63,Allen Frye Jr. Guilherme Pat,,,,38% 68%,,,,,--- ---,,,138
http://ufcstats.com/fight-details/71170fb7ade3e1f4,Jamey-Lyn Horth Tereza Bleda,,,,72% 16%,,,,,--- 0%,,,3
http://ufcstats.com/fight-details/4a0db214d9721d6e,Merab Dvalishvili Petr Yan,,,,32% 53%,,,,,0% ---,,,93
http://ufcstats.com/fight-details/dfa692db6d39330c,Alexandre Pantoja Joshua Van,,,,54% 50%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/fbbb9e72900b71f5,Brandon Moreno Tatsuro Taira,,,,50% 22%,,,,,--- 0%,,,5
http://ufcstats.com/fight-details/1dc29f4c6fcdd356,Henry Cejudo Payton Talbott,,,,50% 70%,,,,,0% 100%,,,0
http://ufcstats.com/fight-details/6d6ab10cbaa45e8c,Jan Blachowicz Bogdan Guskov,,,,48% 47%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/c797b58d85c840a4,Grant Dawson Manuel Torres,,,,38% 52%,,,,,0% ---,,,0
http://ufcstats.com/fight-details/b3d2ac2244e4f791,Terrance McKinney Chris Duncan,,,,54% 69%,,,,,--- 50%,,,0
http://ufcstats.com/fight-details/2417cc7bc1eea75b,Maycee Barber Karine Silva,,,,48% 44%,,,,,--- 100%,,,21
http://ufcstats.com/fight-details/10a57b983e59f727,Nazim Sadykhov Fares Ziam,,,,0% 80%,,,,,0% 50%,,,22
http://ufcstats.com/fight-details/3c683da1924b6c44,Marvin Vettori Brunno Ferreira,,,,55% 53%,,,,,0% 0%,,,4
http://ufcstats.com/fight-details/7af407397532f7cf,Edson Barboza Jalin Turner,,,,50% 59%,,,,,--- ---,,,7
http://ufcstats.com/fight-details/ea660db65bfa998f,Iwo Baraniewski Ibo Aslan,,,,68% 56%,,,,,0% 0%,,,11
http://ufcstats.com/fight-details/964ea1777695851b,Mansur Abdul-Malik Antonio Trocoli,,,,50% 50%,,,,,100% 0%,,,42
http://ufcstats.com/fight-details/40fa4f8b4b93884e,Muhammad Naimov Mairon Santos,,,,61% 46%,,,,,0% ---,,,60
http://ufcstats.com/fight-details/5f5b626e67529056,Arman Tsarukyan Dan Hooker,,,,63% 25%,,,,,33% ---,,,196
http://ufcstats.com/fight-details/b2218930b982d9b6,Belal Muhammad Ian Machado Garry,,,,42% 50%,,,,,0% ---,,,40
http://ufcstats.com/fight-details/870d374f8d9af65a,Volkan Oezdemir Alonzo Menifield,,,,37% 28%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/8ed609d80e135d94,Jack Hermansson Myktybek Orolbai,,,,50% 45%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/e8307c7686c42d8c,Waldo Cortes Acosta Shamil Gaziev,,,,47% 40%,,,,,--- ---,,,8
http://ufcstats.com/fight-details/00ee51bba08b7a08,Tagir Ulanbekov Kyoji Horiguchi,,,,20% 64%,,,,,100% 0%,,,85
http://ufcstats.com/fight-details/5e6a74db89f5410c,Bogdan Grad Luke Riley,,,,66% 42%,,,,,57% ---,,,235
http://ufcstats.com/fight-details/c49485cedb878cf0,Nicolas Dalby Saygid Izagakhmaev,,,,33% 58%,,,,,0% 50%,,,186
http://ufcstats.com/fight-details/443f30a4a856584a,Alex Perez Asu Almabayev,,,,30% 44%,,,,,--- 33%,,,0
http://ufcstats.com/fight-details/f5564a9eeebd4ea0,Abdul Rakhman Yakhyaev Rafael Cerqueira,,,,60% 0%,,,,,100% ---,,,24
http://ufcstats.com/fight-details/6f0231915cc28507,Bekzat Almakhan Aleksandre Topuria,,,,30% 60%,,,,,--- 100%,,,0
http://ufcstats.com/fight-details/335064c3380e2f10,Ismail Naurdiev Ryan Loder,,,,50% 25%,,,,,--- ---,,,2
http://ufcstats.com/fight-details/46f81d5ecd974c1c,Nurullo Aliev Shem Rock,,,,52% 41%,,,,,0% 0%,,,30
http://ufcstats.com/fight-details/9027e156c6f1988a,Marek Bujlo Denzel Freeman,,,,53% 59%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/856f6ee049373843,Jack Della Maddalena Islam Makhachev,,,,22% 37%,,,,,--- 100%,,,0
http://ufcstats.com/fight-details/7606f6b6c19f2d73,Valentina Shevchenko Zhang Weili,,,,61% 41%,,,,,100% 0%,,,150
http://ufcstats.com/fight-details/477af74ea3cbba8b,Sean Brady Michael Morales,,,,36% 46%,,,,,0% ---,,,0
http://ufcstats.com/fight-details/3c60884853766487,Leon Edwards Carlos Prates,,,,70% 52%,,,,,66% ---,,,180
http://ufcstats.com/fight-details/9b5f190cd3f5ce16,Beneil Dariush Benoit Saint Denis,,,,60% 60%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/292b83afa418635f,Bo Nickal Rodolfo Vieira,,,,60% 36%,,,,,100% 0%,,,65
http://ufcstats.com/fight-details/ebb012c5f3fd0cbb,Roman Kopylov Gregory Rodrigues,,,,56% 57%,,,,,100% 0%,,,31
http://ufcstats.com/fight-details/909cd8633507a0c8,Erin Blanchfield Tracy Cortez,,,,46% 42%,,,,,--- 0%,,,0
http://ufcstats.com/fight-details/e313286b307334a7,Malcolm Wellmaker Ethyn Ewing,,,,77% 41%,,,,,0% 100%,,,20
http://ufcstats.com/fight-details/9bbdc2a2ab334541,Kyle Daukaus Gerald Meerschaert,,,,72% 0%,,,,,--- ---,,,17
http://ufcstats.com/fight-details/e3cbd663732f4a98,Pat Sabatini Chepe Mariscal,,,,36% 25%,,,,,100% ---,,,159
http://ufcstats.com/fight-details/6c2c6a6e3f4d04db,Angela Hill Fatima Kline,,,,34% 56%,,,,,--- 100%,,,10
http://ufcstats.com/fight-details/c037cf1f7b429d5e,Baisangur Susurkaev Eric McConico,,,,76% 58%,,,,,40% ---,,,139
