fight_url,round,fighter,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec
http://ufcstats.com/fight-details/a5a81a39ccf9b680,1,Brandon Royval Manel Kape,,,,5 of 10 6 of 10,,,,,17 of 26 15 of 21,,,0
http://ufcstats.com/fight-details/24bb03f0a3415fbe,2,Giga Chikadze Kevin Vallejos,,,,1 of 8 6 of 13,,,,,9 of 17 8 of 16,,,0
http://ufcstats.com/fight-details/d000cb692343cdcd,3,Cesar Almeida Cezary Oleksiejczuk,,,,0 of 1 3 of 3,,,,,4 of 5 3 of 4,,,0
http://ufcstats.com/fight-details/93ca562453f65b8d,1,Melquizael Costa Morgan Charriere,,,,1 of 3 0 of 2,,,,,4 of 9 2 of 4,,,0
http://ufcstats.com/fight-details/47149f3187661509,3,Kennedy Nzechukwu Marcus Buchecha,,,,7 of 16 0 of 5,,,,,8 of 16 1 of 8,,,0
http://ufcstats.com/fight-details/fc4ab243d21b795d,3,King Green Lance Gibson Jr.,,,,8 of 26 4 of 22,,,,,21 of 50 11 of 32,,,0
http://ufcstats.com/fight-details/0fca825e14429c1f,1,Neil Magny Yaroslav Amosov,,,,2 of 8 3 of 12,,,,,5 of 11 8 of 17,,,0
http://ufcstats.com/fight-details/225e93ebed9b71b8,3,Joanderson Brito Isaac Thomson,,,,1 of 4 6 of 7,,,,,1 of 1 0 of 3,,,0
http://ufcstats.com/fight-details/a2523a8565fe4361,2,Sean Sharaf Steven Asplund,,,,32 of 76 61 of 127,,,,,43 of 89 70 of 136,,,0
http://ufcstats.com/fight-details/ceb5b0f1f6daddf6,3,Melissa Croden Luana Santos,,,,1 of 17 5 of 7,,,,,4 of 23 8 of 10,,,0
http://ufcstats.com/fight-details/ac56a1052c4c8f63,3,Allen Frye Jr. Guilherme Pat,,,,10 of 37 19 of 29,,,,,12 of 40 23 of 34,,,0
http://ufcstats.com/fight-details/71170fb7ade3e1f4,1,Jamey-Lyn Horth Tereza Bleda,,,,12 of 17 0 of 8,,,,,9 of 15 1 of 11,,,0
http://ufcstats.com/fight-details/4a0db214d9721d6e,5,Merab Dvalishvili Petr Yan,,,,16 of 60 15 of 30,,,,,18 of 63 17 of 31,,,0
http://ufcstats.com/fight-details/dfa692db6d39330c,1,Alexandre Pantoja Joshua Van,,,,4 of 8 2 of 4,,,,,5 of 10 2 of 3,,,0
http://ufcstats.com/fight-details/fbbb9e72900b71f5,2,Brandon Moreno Tatsuro Taira,,,,2 of 4 1 of 7,,,,,0 of 2 0 of 4,,,0
